customer_id,first_name,last_name,email,phone,country,age,signup_date,is_active
1,Priya,Brown,  PRIYA.BROWN4@PROTON.ME  ,+1-481-450-4657,us,65,2022-07-29,true
2,Chen,Wilson,chen.wilson5@gmail.com,+1-295-423-4811,US,53,2023-02-12,false
3,Linda,Anderson,linda.anderson76@outlook.com,+1-206-977-3615,Deutschland,39,2023-07-24,true
4,Michael,Hernandez,michael.hernandez14@gmail.com,+1-589-299-6881,Germany,56,2023-06-26,true
5,Sofia,Anderson,sofia.anderson69@gmail.com,+1-587-280-5803,Germany,54,2023-01-29,true
6,Mary,Nguyen,mary.nguyen30@outlook.com,+1-281-438-2654,DE,35,2024-07-17,false
7,Jennifer,Lopez,jennifer.lopez46@yahoo.com,+1-886-473-2169,UK,52,2023-05-17,true
8,Joseph,Gonzalez,joseph.gonzalez35@proton.me,+1-904-770-4598,canada,71,2022-04-25,true
9,Noah,Johnson,noah.johnson41@hotmail.com,+1-474-267-4456,canada,31,2025-09-04,false
10,Richard,Patel,richard.patel59@yahoo.com,+1-471-342-5040,Canada,65,2025-04-12,false
11,Lucas,Jackson,lucas.jackson52@outlook.com,+1-424-341-9348,FR,23,2022-04-07,true
12,Robert,Patel,robert.patel21@proton.me,+1-632-810-2040,DE,42,2025-05-05,false
13,Thomas,Rodriguez,thomas.rodriguez71@gmail.com,+1-896-938-2876,Canada,67,2025-08-05,false
14,Patricia,Martinez,patricia.martinez56@yahoo.com,+1-664-203-5315,UK,50,2022-08-06,false
15,Noah,Patel,noah.patel65@icloud.com,+1-403-356-7126,UK,52,2024-12-22,true
16,Wei,Hernandez,wei.hernandez63@gmail.com,+1-314-571-6038,GB,21,2023-05-09,true
17,John,Singh,john.singh63@gmail.com,+1-978-745-3060,us,60,2024-08-31,true
18,William,Taylor,william.taylor78@hotmail.com,+1-416-752-4295,CA,43,2025-10-07,false
19,Joseph,Taylor,joseph.taylor58@gmail.com,+1-453-430-2049,canada,19,2025-04-19,true
20,Chen,Davis,chen.davis1_at_gmail.com,+1-924-846-1964,GB,22,2022-03-06,false
21,John,Taylor,john.taylor31@outlook.com,+1-885-697-4510,us,64,2025-03-15,false
22,Linda,Thomas,linda.thomas53@yahoo.com,+1-296-299-8062,Germany,45,2024-04-21,false
23,Emma,Singh,emma.singh7@proton.me,+1-869-861-2612,USA,43,2023-11-26,true
24,Linda,Miller,linda.miller25@icloud.com,+1-659-343-7912,UK,35,2024-08-05,true
25,Emma,Williams,emma.williams57@icloud.com,+1-300-251-9856,US,23,2023-04-30,true
26,Susan,Thomas,susan.thomas62@yahoo.com,+1-610-260-3697,DE,18,2024-03-10,false
27,Mia,Anderson,mia.anderson37@hotmail.com,+1-913-948-8973,us,30,2023-08-31,true
28,Mary,Jackson,mary.jackson95@icloud.com,+1-262-965-6138,USA,21,2025-04-11,false
29,Thomas,Taylor,thomas.taylor21@gmail.com,+1-720-282-4044,United States,56,2022-05-20,true
30,Richard,Brown,richard.brown73@yahoo.com,+1-792-808-1651,United States,44,2025-09-08,false
31,Mia,Rodriguez,mia.rodriguez27@proton.me,+1-933-521-4910,Canada,43,2022-09-26,false
